 Thalach,Probability Male,Probability Female
99,90.7,90.1
100,90.6,90
101,90.5,89.9
102,90.4,89.7
103,90.3,89.6
104,90.2,89.5
105,90,89.4
106,89.9,89.2
107,89.8,89.1
108,89.7,89
109,89.6,88.9
110,89.4,88.8
111,89.3,88.7
112,89.2,89.2
113,89.1,89.1
114,88.9,88.2
115,88.8,88.1
116,88.7,88
117,88.6,87.8
118,88.4,87.7
119,88.3,87.6
120,88.2,87.4
121,88.1,88.1
122,87.9,87.9
123,87.8,87.1
124,87.7,86.8
125,87.5,86.6
126,87.3,86.4
127,87.2,86.3
128,87.1,86.1
129,87,85.9
130,86.8,85.7
131,86.6,85.6
132,86.5,85.4
133,86.3,85.2
134,86.2,85
135,86,84.8
136,85.8,84.6
137,85.7,84.4
138,85.6,84.2
139,85.5,83.9
140,85.2,83.6
141,84.9,83.4
142,84.7,83.1
143,84.6,82.8
144,84.4,82.5
145,84.3,82.3
146,84,82
147,83.8,81.7
148,83.6,81.4
149,83.4,81.1
150,83.2,80.8
151,83,80.5
152,82.8,80.2
153,82.5,79.8
154,82.3,79.2
155,82.1,78.9
156,81.9,78.5
157,81.6,78.4
158,81.4,78.1
159,81.2,77.9
160,81,77.6
161,80.7,77.3
162,80.4,77
163,80.1,77.6
164,79.7,77.1
165,79.3,75.8
166,78.8,75.4
167,78.4,75
168,78,74.6
169,77.5,74.2
170,77.1,73.8
171,76.6,73.4
172,76.1,73
173,75.6,72.6
174,75.1,72.2
175,74.6,71.8
176,74,71.3
177,73.5,70.9
178,73,70.5
179,72.4,70.1
180,71.9,69.6
181,71,69.2
182,70.8,68.7
183,70.3,68.3
184,69.7,67.7
185,69.1,67.2
186,68.6,66.6
187,68,66
